                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.92168,                 0.8809,                0.82267,                 0.7398,                0.64649,                0.71339,                0.53505,                0.77486,                0.73643,                0.80843,              0.0079917,              0.0079917,              0.0079917
                     74,                0.91371,                0.87103,                0.82546,                0.72961,                0.63992,                0.71124,                0.53351,                0.77419,                0.73162,                 0.8087,              0.0079634,              0.0079634,              0.0079634
                     75,                0.89386,                0.85161,                0.82017,                0.74874,                0.64373,                0.71488,                0.53786,                0.77136,                0.72321,                0.80832,              0.0079351,              0.0079351,              0.0079351
                     76,                0.91485,                0.85999,                0.82551,                0.73185,                0.65552,                0.71781,                0.53961,                0.77297,                0.72215,                0.80874,              0.0079069,              0.0079069,              0.0079069
                     77,                0.89555,                0.84507,                0.81985,                0.75919,                0.64048,                0.71882,                0.53941,                0.77233,                0.72069,                0.80864,              0.0078786,              0.0078786,              0.0078786
                     78,                0.90541,                0.86365,                0.82376,                0.74393,                0.64475,                0.71929,                0.54032,                0.77135,                 0.7209,                0.80849,              0.0078503,              0.0078503,              0.0078503
                     79,                0.90131,                0.84543,                0.81888,                0.74145,                0.65892,                0.72124,                0.54329,                0.76947,                 0.7184,                0.80781,               0.007822,               0.007822,               0.007822
                     80,                0.91934,                0.85692,                0.82576,                0.73101,                0.65535,                0.71913,                0.54185,                0.76824,                0.72045,                0.80788,              0.0077937,              0.0077937,              0.0077937
                     81,                0.90791,                0.84816,                0.82302,                0.73005,                0.66289,                0.71998,                0.54247,                0.76986,                0.72121,                0.80807,              0.0077654,              0.0077654,              0.0077654
                     82,                0.90015,                0.83551,                0.82338,                 0.7378,                0.66141,                0.72237,                0.54375,                0.76923,                0.71736,                0.80797,              0.0077371,              0.0077371,              0.0077371
                     83,                0.89682,                0.82748,                0.82301,                0.72804,                0.66387,                0.72477,                0.54563,                0.76862,                0.71927,                0.80801,              0.0077089,              0.0077089,              0.0077089
                     84,                 0.9059,                 0.8398,                0.82207,                0.76328,                0.65094,                0.72578,                 0.5471,                0.76738,                0.71748,                0.80756,              0.0076806,              0.0076806,              0.0076806
                     85,                0.91369,                0.83253,                0.82006,                0.75809,                0.65543,                0.72667,                0.54829,                0.76563,                0.71779,                0.80744,              0.0076523,              0.0076523,              0.0076523
                     86,                0.90562,                0.83952,                0.81844,                0.76062,                0.65406,                 0.7275,                0.54868,                0.76475,                0.71587,                0.80729,               0.007624,               0.007624,               0.007624
                     87,                0.90096,                0.81203,                0.82159,                0.76393,                0.64869,                0.72823,                0.54877,                0.76371,                0.71449,                0.80718,              0.0075957,              0.0075957,              0.0075957
                     88,                0.89642,                0.82031,                0.82094,                0.72488,                0.66497,                0.72675,                0.54731,                0.76353,                0.71402,                0.80723,              0.0075674,              0.0075674,              0.0075674
                     89,                0.88257,                0.81766,                0.82145,                0.72581,                0.67218,                0.72699,                0.54645,                0.76269,                 0.7108,                 0.8071,              0.0075391,              0.0075391,              0.0075391
                     90,                0.88845,                0.80316,                0.82054,                0.73433,                0.66608,                0.72834,                0.54778,                0.76228,                0.70833,                0.80702,              0.0075109,              0.0075109,              0.0075109
                     91,                0.90809,                 0.8221,                0.81945,                0.73686,                0.66354,                0.72907,                0.54941,                0.76148,                0.70508,                  0.807,              0.0074826,              0.0074826,              0.0074826
                     92,                 0.9014,                0.81749,                0.82118,                0.72971,                0.66275,                0.72992,                0.54988,                0.76083,                 0.7038,                0.80696,              0.0074543,              0.0074543,              0.0074543
                     93,                0.89044,                0.80067,                0.82281,                 0.7234,                0.67648,                0.73066,                0.55069,                 0.7599,                0.70213,                0.80685,               0.007426,               0.007426,               0.007426
                     94,                0.88742,                0.78794,                0.82362,                0.73208,                0.67302,                0.73175,                0.55209,                0.75908,                0.69864,                0.80681,              0.0073977,              0.0073977,              0.0073977
                     95,                0.89278,                0.79086,                 0.8182,                 0.7262,                0.68478,                0.73348,                0.55403,                0.75935,                0.69743,                 0.8068,              0.0073694,              0.0073694,              0.0073694
                     96,                0.88856,                0.77661,                 0.8229,                0.73287,                 0.6791,                0.73544,                0.55463,                0.75939,                0.69568,                0.80669,              0.0073411,              0.0073411,              0.0073411
                     97,                0.87407,                 0.7713,                0.81865,                0.73839,                0.68272,                0.73572,                0.55541,                0.75853,                0.69335,                 0.8067,              0.0073129,              0.0073129,              0.0073129
                     98,                0.89648,                0.78112,                0.81898,                 0.7464,                0.66865,                0.73767,                0.55607,                0.75758,                0.68924,                0.80657,              0.0072846,              0.0072846,              0.0072846
                     99,                0.88241,                0.77638,                0.82186,                 0.7445,                0.68207,                0.73886,                0.55821,                0.75698,                0.68638,                0.80643,              0.0072563,              0.0072563,              0.0072563
                    100,                0.87263,                0.77084,                0.81633,                0.74284,                0.68126,                0.74039,                0.55911,                0.75702,                0.68531,                0.80617,               0.007228,               0.007228,               0.007228
                    101,                0.89333,                0.78504,                 0.8224,                0.74627,                0.67404,                0.74134,                0.55951,                0.75665,                0.68403,                0.80623,              0.0071997,              0.0071997,              0.0071997
                    102,                0.88063,                0.77116,                0.81684,                0.74665,                0.67813,                0.74306,                0.56091,                 0.7563,                0.68279,                0.80628,              0.0071714,              0.0071714,              0.0071714
                    103,                0.87729,                0.76232,                0.81872,                0.74398,                0.68283,                0.74411,                0.56218,                0.75556,                0.68044,                0.80619,              0.0071431,              0.0071431,              0.0071431
